REGIONAL,CELLS,Dmin1-STATUS,Dmin2-STATUS,FINAL-STATUS
12,137221-13,UNDEFINED,UNDEFINED,UNDEFINED
12,137221-23,PASS,UNDEFINED,PASS
12,137221-33,PASS,UNDEFINED,PASS
12,137306-13,PASS,UNDEFINED,PASS
12,137306-23,UNDEFINED,UNDEFINED,UNDEFINED
12,137306-33,PASS,UNDEFINED,PASS
12,137569-13,UNDEFINED,UNDEFINED,UNDEFINED
12,137569-23,PASS,UNDEFINED,PASS
12,137569-33,PASS,UNDEFINED,PASS
12,137577-13,UNDEFINED,UNDEFINED,UNDEFINED
12,137577-23,UNDEFINED,UNDEFINED,UNDEFINED
12,137577-33,UNDEFINED,UNDEFINED,UNDEFINED
12,137602-13,UNDEFINED,UNDEFINED,UNDEFINED
12,137602-23,PASS,UNDEFINED,PASS
12,137602-33,PASS,UNDEFINED,PASS
12,137632-15,UNDEFINED,UNDEFINED,UNDEFINED
12,137632-25,PASS,UNDEFINED,PASS
12,137632-45,UNDEFINED,UNDEFINED,UNDEFINED
12,137632-55,PASS,UNDEFINED,PASS
12,137633-13,UNDEFINED,UNDEFINED,UNDEFINED
12,137633-23,UNDEFINED,UNDEFINED,UNDEFINED
12,137633-33,UNDEFINED,UNDEFINED,UNDEFINED
12,137714-33,UNDEFINED,UNDEFINED,UNDEFINED
3,137724-13,PASS,UNDEFINED,PASS
3,137724-23,PASS,UNDEFINED,PASS
3,137724-33,UNDEFINED,UNDEFINED,UNDEFINED
12,137743-13,PASS,UNDEFINED,PASS
12,137743-23,PASS,UNDEFINED,PASS
12,137743-33,UNDEFINED,UNDEFINED,UNDEFINED
12,137743-43,PASS,UNDEFINED,PASS
12,137743-53,PASS,UNDEFINED,PASS
12,137830-13,UNDEFINED,UNDEFINED,UNDEFINED
12,137830-23,PASS,UNDEFINED,PASS
12,137830-33,PASS,UNDEFINED,PASS
12,137865-13,PASS,UNDEFINED,PASS
12,137865-23,UNDEFINED,UNDEFINED,UNDEFINED
12,137865-33,PASS,UNDEFINED,PASS
12,137918-35,UNDEFINED,UNDEFINED,UNDEFINED
12,137918-65,PASS,UNDEFINED,PASS
12,137926-13,UNDEFINED,UNDEFINED,UNDEFINED
12,137926-23,UNDEFINED,UNDEFINED,UNDEFINED
12,137926-33,UNDEFINED,UNDEFINED,UNDEFINED
12,137940-11,UNDEFINED,UNDEFINED,UNDEFINED
12,137940-21,PASS,UNDEFINED,PASS
12,137940-31,PASS,UNDEFINED,PASS
12,137971-12,UNDEFINED,UNDEFINED,UNDEFINED
12,137971-22,PASS,UNDEFINED,PASS
12,137971-32,PASS,UNDEFINED,PASS
12,137992-13,PASS,UNDEFINED,PASS
12,137992-23,UNDEFINED,UNDEFINED,UNDEFINED
12,137992-33,PASS,UNDEFINED,PASS
12,138028-14,PASS,UNDEFINED,PASS
